Name,Cancellations Total,Cancellations US,Delays Total,Delays US,Page Key,Parse Status,Snapshot GMT,Source URL,Target Date ET
2026-04-03 plus2days,24,4,42,0,plus2days,success,2026年4月2日 04:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26274,5976,yesterday,success,2026年4月2日 04:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,659,144,18737,3257,today,success,2026年4月2日 04:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,160,33,1080,0,tomorrow,success,2026年4月2日 04:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,43,0,plus2days,success,2026年4月2日 04:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 05:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26276,5978,yesterday,success,2026年4月2日 05:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,660,144,19056,3396,today,success,2026年4月2日 05:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,162,33,1103,0,tomorrow,success,2026年4月2日 05:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,43,0,plus2days,success,2026年4月2日 05:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26276,5978,yesterday,success,2026年4月2日 05:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,665,146,19056,3396,today,success,2026年4月2日 05:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,162,33,1103,0,tomorrow,success,2026年4月2日 05:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,43,0,plus2days,success,2026年4月2日 05:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26279,5980,yesterday,success,2026年4月2日 05:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,670,148,19315,3529,today,success,2026年4月2日 05:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,165,33,1142,0,tomorrow,success,2026年4月2日 05:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,43,0,plus2days,success,2026年4月2日 05:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26280,5981,yesterday,success,2026年4月2日 05:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,672,148,19586,3675,today,success,2026年4月2日 05:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,166,33,1162,0,tomorrow,success,2026年4月2日 05:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,45,0,plus2days,success,2026年4月2日 05:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 06:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 06:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,684,157,19831,3821,today,success,2026年4月2日 06:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,170,35,1190,0,tomorrow,success,2026年4月2日 06:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 06:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 06:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,691,158,19831,3821,today,success,2026年4月2日 06:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,173,35,1190,0,tomorrow,success,2026年4月2日 06:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 06:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 06:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,699,160,20113,3986,today,success,2026年4月2日 06:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,175,37,1232,0,tomorrow,success,2026年4月2日 06:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 06:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 06:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,701,162,20393,4135,today,success,2026年4月2日 06:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,175,37,1278,0,tomorrow,success,2026年4月2日 06:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 06:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 07:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,703,165,20640,4289,today,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-02 tomorrow,176,37,1357,0,tomorrow,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-01 today,703,165,20640,4289,today,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,176,37,1357,0,tomorrow,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 07:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
